Date,Region,Diff,AgeComp,RateComp,CFR1,CFR2,Date3
2020-11-13,Baden-WÃ¼rttemberg,0.0030604005641716447,0.0047326599536989,-0.001672259389527258,0.027734584829380002,0.024674184265208357,2021-01-22
2020-11-14,Bavaria,0.00573528320063894,0.006568682824832389,-8.333996241934472e-4,0.030342781606643724,0.024607498406004784,2021-01-27
2020-10-28,Berlin,0.012168900752306096,0.0097643443177141,0.0024045564345919986,0.023505476301526287,0.011336575549220192,2021-02-15
2020-11-21,Brandenburg,0.0163093202708023,0.011527762087348152,0.004781558183454144,0.042409564769579806,0.026100244498777507,2021-02-09
2020-11-15,Bremen,0.006411574672370114,0.006613775272200239,-2.0220059983012576e-4,0.021663965424095086,0.015252390751724972,2021-03-08
2020-11-12,Hamburg,0.005547757569396357,0.006923644094496436,-0.0013758865251000758,0.027207860568487542,0.021660102999091185,2021-01-15
2020-11-08,Hesse,0.013756990067600543,0.012418374579740253,0.0013386154878602893,0.03346024762388245,0.019703257556281908,2021-02-08
2020-11-14,Lower Saxony,0.007836110438947153,0.007693299853672067,1.4281058527508564e-4,0.02933033453679773,0.021494224097850578,2021-02-11
2020-11-03,Meckl.-Western Pomerania,0.022994459773662088,0.009772425880539426,0.013222033893122655,0.03341441556778902,0.010419955794126934,2021-02-20
2020-11-13,North Rhine-Westphalia,0.008291421420004368,0.007102967304417352,0.001188454115587015,0.02632339501495825,0.01803197359495388,2021-02-16
2020-11-08,Rhineland-Palatinate,0.016248855166322157,0.010944844579761664,0.005304010586560495,0.03315679666185203,0.01690794149552987,2021-02-02
2020-11-26,Saarland,0.006249023937357597,0.005354355794902558,8.946681424550372e-4,0.03300924258792462,0.026760218650567023,2021-01-27
2020-10-15,Saxony,0.0128363926694403,0.01003312416041851,0.0028032685090217907,0.0431364321483191,0.030300039478878802,2021-02-01
2020-11-14,Saxony-Anhalt,0.025025476939228006,0.01271396511960655,0.012311511819621458,0.0434698404873411,0.018444363548113095,2021-02-15
2020-12-02,Schleswig-Holstein,0.014091106145583614,0.011002530772956848,0.003088575372626764,0.03404661076366492,0.019955504618081307,2021-01-29
2020-11-10,Thuringia,0.010002143823387731,0.00338138932628943,0.006620754497098302,0.04315420406183157,0.03315206023844384,2021-01-04
